local_unit_code,Rural Urban,Province,Municipal Name,District,Year,Int Revenue,Fed Equalisation,Fed Conditional,Fed Complimentary,Fed Special,Capital Expenditure,Current Expenditure
70102,Rural Municipality,Sudurpashchim,Gaumul Rural Municipality,Bajura,2018,7.283,,,,,96.475,69.977
70807,Urban Municipality,Sudurpashchim,Lamkichuha Municipality,Kailali,2018,31.545,,,,,275.345,208.225
70811,Urban Municipality,Sudurpashchim,Bhajani Municipality,Kailali,2018,32.829,,,,,138.11,152.068
70810,Urban Municipality,Sudurpashchim,Tikapur Municipality,Kailali,2018,51.21,,,,,230.228,247.989
70805,Urban Municipality,Sudurpashchim,Ghoda Ghodi Municipality,Kailali,2018,40.128,,,,,223.651,233.516
70804,Urban Municipality,Sudurpashchim,Gauriganga Municipality,Kailali,2018,17.829,,,,,253.085,135.599
70803,Urban Municipality,Sudurpashchim,Godawari Municipality,Kailali,2018,22.491,,,,,202.02,291.441
70902,Urban Municipality,Sudurpashchim,Shuklafanta Municipality,Kanchanpur,2018,25.327,,,,,194.978,146.167
70905,Urban Municipality,Sudurpashchim,Mahakali Municipality,Kanchanpur,2018,22.366,,,,,138.17,95.113
70904,Urban Municipality,Sudurpashchim,Bhimdatta Municipality,Kanchanpur,2018,109.609,,,,,665.359,81.423
70908,Urban Municipality,Sudurpashchim,Belauri Municipality,Kanchanpur,2018,13.958,,,,,225.816,145.385
70903,Urban Municipality,Sudurpashchim,Bedkot Municipality,Kanchanpur,2018,17.943,,,,,157.664,173.445
70907,Urban Municipality,Sudurpashchim,Punarwas Municipality,Kanchanpur,2018,26.608,,,,,201.127,159.496
70901,Urban Municipality,Sudurpashchim,Krishnapur Municipality,Kanchanpur,2018,29.999,,,,,329.789,60.83
70505,Urban Municipality,Sudurpashchim,Parshuram Municipality,Dadeldhura,2018,26.604,,,,,234.604,136.21
70502,Urban Municipality,Sudurpashchim,Amargadhi Municipality,Dadeldhura,2018,41.063,,,,,106.587,160.073
70408,Urban Municipality,Sudurpashchim,Melauli Municipality,Baitadi,2018,8.747,,,,,108.061,146.05
70403,Urban Municipality,Sudurpashchim,Purchaundi Municipality,Baitadi,2018,11.026,,,,,175.163,214.135
70409,Urban Municipality,Sudurpashchim,Patan Municipality,Baitadi,2018,21.781,,,,,173.882,227.289
70405,Urban Municipality,Sudurpashchim,Dashrathchand Municipality,Baitadi,2018,3.537,,,,,158.798,246.545
70307,Urban Municipality,Sudurpashchim,Shailyasikhar Municipality,Darchula,2018,9.682,,,,,128.674,208.559
70303,Urban Municipality,Sudurpashchim,Mahakali Municipality,Darchula,2018,27.948,,,,,95.844,228.196
70704,Urban Municipality,Sudurpashchim,Sanfebagar Municipality,Achham,2018,30.471,,,,,171.153,248.644
70706,Urban Municipality,Sudurpashchim,Mangalsen Municipality,Achham,2018,13.119,,,,,183.983,222.973
70701,Urban Municipality,Sudurpashchim,Panchadewal Binayak Municipality,Achham,2018,15.285,,,,,111.8,190.686
70708,Urban Municipality,Sudurpashchim,Kamalbajar Rural Municipality,Achham,2018,16.141,,,,,155.905,143.081
70604,Urban Municipality,Sudurpashchim,Sikhar Municipality,Doti,2018,12.173,,,,,230.771,160.642
70605,Urban Municipality,Sudurpashchim,Dipayal Silgadhi Municipality,Doti,2018,158.959,,,,,196.537,179.915
70202,Urban Municipality,Sudurpashchim,Bungal Municipality,Bajhang,2018,5.234,,,,,189.095,225.239
70206,Urban Municipality,Sudurpashchim,Jay Prithvi Municipality,Bajhang,2018,19.969,,,,,119.47,225.621
70103,Urban Municipality,Sudurpashchim,Budhinanda Municipality,Bajura,2018,9.53,,,,,154.016,111.186
70108,Urban Municipality,Sudurpashchim,Budhiganga Municipality,Bajura,2018,10.704,,,,,10.844,210.856
70106,Urban Municipality,Sudurpashchim,Badhimalika Municipality,Bajura,2018,12.361,,,,,123.165,114.713
70109,Urban Municipality,Sudurpashchim,Tribeni Municipality,Bajura,2018,8.148,,,,,77.224,120.844
70813,Sub-Metropolitan City,Sudurpashchim,Dhangadhi Sub-metropolitan City,Kailali,2018,77.97,,,,,432.224,348.841
61001,Rural Municipality,Karnali,Simta Rural Municipality,Surkhet,2018,5.105,,,,,142.571,187.704
61007,Rural Municipality,Karnali,Barahtal Rural Municipality,Surkhet,2018,5.666,,,,,125.319,158.203
61009,Rural Municipality,Karnali,Chaukune Rural Municipality,Surkhet,2018,1.925,,,,,160.557,153.725
61002,Rural Municipality,Karnali,Chingaadh Rural Municipality,Surkhet,2018,7.503,,,,,116.818,119.845
60602,Rural Municipality,Karnali,Mahabu Rural Municipality,Dailekha,2018,6.256,,,,,133.092,109.317
60603,Rural Municipality,Karnali,Bhairawi Rural Municipality,Dailekha,2018,17.77,,,,,88.22,138.022
60609,Rural Municipality,Karnali,Bhagwatimai Rural Municipality,Dailekha,2018,22.958,,,,,99.237,114.698
60601,Rural Municipality,Karnali,Naumule Rural Municipality,Dailekha,2018,4.996,,,,,82.67,129.921
60610,Rural Municipality,Karnali,Dungeshwor Rural Municipality,Dailekha,2018,14.317,,,,,76.866,146.526
60604,Rural Municipality,Karnali,Thantikaandh Rural Municipality,Dailekha,2018,7.035,,,,,67.006,92.981
60611,Rural Municipality,Karnali,Gurans Rural Municipality,Dailekha,2018,15.631,,,,,95.868,179.796
60705,Rural Municipality,Karnali,Shiwalay Rural Municipality,Jajarkot,2018,6.361,,,,,98.471,105.016
60701,Rural Municipality,Karnali,Barekot Rural Municipality,Jajarkot,2018,5.848,,,,,106.118,117.933
60703,Rural Municipality,Karnali,Juni Chade Rural Municipality,Jajarkot,2018,6.566,,,,,151.252,117.49
60702,Rural Municipality,Karnali,Kushe Rural Municipality,Jajarkot,2018,8.931,,,,,138.233,151.762
60504,Rural Municipality,Karnali,Sanni Tribeni Rural Municipality,Kalikot,2018,0,,,,,33.304,130.466
60508,Rural Municipality,Karnali,Mahawai Rural Municipality,Kalikot,2018,5.107,,,,,58.882,92.558
60501,Rural Municipality,Karnali,Palata Rural Municipality,Kalikot,2018,7.941,,,,,98.817,112.941
60502,Rural Municipality,Karnali,Pachaaljharna Rural Municipality,Kalikot,2018,0,,,,,113.18,77.613
60505,Rural Municipality,Karnali,Naraharinath Rural Municipality,Kalikot,2018,5.585,,,,,87.4,124.214
60509,Rural Municipality,Karnali,Kalika Rural Municipality,Kalikot,2018,5.741,,,,,70.787,132.209
60303,Rural Municipality,Karnali,Simkot Rural Municipality,Humla,2018,14.381,,,,,99.977,158.525
60305,Rural Municipality,Karnali,Sarkegaadh Rural Municipality,Humla,2018,5.497,,,,,90.32,131.753
60304,Rural Municipality,Karnali,Namkha Rural Municipality,Humla,2018,7.855,,,,,56.986,74.174
60307,Rural Municipality,Karnali,Tanjakot Rural Municipality,Humla,2018,6.132,,,,,77.654,60.334
60301,Rural Municipality,Karnali,Chankheli Rural Municipality,Humla,2018,4.814,,,,,54.296,97.003
60302,Rural Municipality,Karnali,Kharpunath Rural Municipality,Humla,2018,5.27,,,,,60.966,121.632
60306,Rural Municipality,Karnali,Adanchuli Rural Municipality,Humla,2018,6.064,,,,,78.04,69.394
60203,Rural Municipality,Karnali,Soru Rural Municipality,Mugu,2018,5.035,,,,,91.605,142.186
60204,Rural Municipality,Karnali,Khatyad Rural Municipality,Mugu,2018,8.01,,,,,128.553,163.01
60201,Rural Municipality,Karnali,Mugumkarmarong Rural Municipality,Mugu,2018,10.443,,,,,59.873,83.369
60408,Rural Municipality,Karnali,Hima Rural Municipality,Jumla,2018,4.653,,,,,83.602,78.866
60403,Rural Municipality,Karnali,Shinja Rural Municipality,Jumla,2018,4.8,,,,,10.81,177.091
60401,Rural Municipality,Karnali,Patarashi Rural Municipality,Jumla,2018,0.762,,,,,83.905,129.954
60407,Rural Municipality,Karnali,Tila Rural Municipality,Jumla,2018,4.8,,,,,68.046,109.224
60406,Rural Municipality,Karnali,Tatopani Rural Municipality,Jumla,2018,4.8,,,,,0,217.144
60405,Rural Municipality,Karnali,Guthichaur Rural Municipality,Jumla,2018,0,,,,,102.03,64.772
60402,Rural Municipality,Karnali,Kanakasundari Rural Municipality,Jumla,2018,4.806,,,,,87.279,112.271
60102,Rural Municipality,Karnali,She Phokshundo Rural Municipality,Dolpa,2018,5.132,,,,,78.816,41.375
60104,Rural Municipality,Karnali,Mudkechula Rural Municipality,Dolpa,2018,5.332,,,,,67.348,70.246
60101,Rural Municipality,Karnali,Dolpo Buddha Rural Municipality,Dolpa,2018,5.924,,,,,67.159,17.59
60103,Rural Municipality,Karnali,Jagadulla Rural Municipality,Dolpa,2018,5.084,,,,,67.007,62.727
60108,Rural Municipality,Karnali,Chharka Tangsong Rural Municipality,Dolpa,2018,6.262,,,,,55.072,28.38
60107,Rural Municipality,Karnali,Kaike Rural Municipality,Dolpa,2018,7.577,,,,,110.995,32.513
60901,Rural Municipality,Karnali,Darma Rural Municipality,Salyan,2018,8.153,,,,,120.591,77.85
60909,Rural Municipality,Karnali,Tribeni Rural Municipality,Salyan,2018,7.566,,,,,85.725,107.261
60904,Rural Municipality,Karnali,Siddha Kumakh Rural Municipality,Salyan,2018,7.815,,,,,61.264,88.948
60906,Rural Municipality,Karnali,Chhatreshwori Rural Municipality,Salyan,2018,12.881,,,,,107.235,118.077
60902,Rural Municipality,Karnali,Kumakhmalika Rural Municipality,Salyan,2018,8.229,,,,,111.701,121.157
60908,Rural Municipality,Karnali,Kalimati Rural Municipality,Salyan,2018,7.975,,,,,83.624,130.935
60910,Rural Municipality,Karnali,Kapurkot Rural Municipality,Salyan,2018,8.881,,,,,92.867,107.521
60802,Rural Municipality,Karnali,Sanibheri Rural Municipality,Rukum East,2018,5.52,,,,,94.196,138.528
60803,Rural Municipality,Karnali,Baafikot Rural Municipality,Rukum East,2018,4.346,,,,,142.545,110.621
60805,Rural Municipality,Karnali,Tribeni Rural Municipality,Rukum East,2018,4.8,,,,,97.776,131.923
61006,Urban Municipality,Karnali,Birendranagar Municipality,Surkhet,2018,35.689,,,,,249.5,378.065
61003,Urban Municipality,Karnali,Lekbeshi Municipality,Surkhet,2018,4.366,,,,,166.445,161.32
61005,Urban Municipality,Karnali,Bheriganga Municipality,Surkhet,2018,8.254,,,,,163.627,190.37
61008,Urban Municipality,Karnali,Panchapuri Municipality,Surkhet,2018,65.502,,,,,179.859,220.054
61004,Urban Municipality,Karnali,Gurbhakot Municipality,Surkhet,2018,14.331,,,,,234.154,226.126
60608,Urban Municipality,Karnali,Narayan Municipality,Dailekha,2018,10.789,,,,,88.094,200.693
60607,Urban Municipality,Karnali,Dullu Municipality,Dailekha,2018,11.032,,,,,126.832,211.302
60606,Urban Municipality,Karnali,Chamunda Bindrasaini Municipality,Dailekha,2018,11.363,,,,,136.312,118.456
60605,Urban Municipality,Karnali,Aathbis Municipality,Dailekha,2018,20.68,,,,,152.685,129.025
60706,Urban Municipality,Karnali,Bheri Municipality,Jajarkot,2018,31.715,,,,,183.27,225.151
60707,Urban Municipality,Karnali,Tribeni Nalgaadh Municipality,Jajarkot,2018,8.486,,,,,175.121,161.656
60704,Urban Municipality,Karnali,Chhedagaadh Municipality,Jajarkot,2018,7.879,,,,,170.93,205.486
60503,Urban Municipality,Karnali,Raskot Municipality,Kalikot,2018,6.55,,,,,82.333,122.306
60507,Urban Municipality,Karnali,TilaGufa Rural Municipality,Kalikot,2018,5.991,,,,,96.713,142.863
60506,Urban Municipality,Karnali,Khadachakra Municipality,Kalikot,2018,4.554,,,,,117.429,135.653
60202,Urban Municipality,Karnali,Chhayanath Rara Municipality,Mugu,2018,7.739,,,,,115.506,178.797
60404,Urban Municipality,Karnali,Chandannath Municipality,Jumla,2018,12.125,,,,,142.641,138.793
60105,Urban Municipality,Karnali,Tripurasundari Municipality,Dolpa,2018,5.681,,,,,127.011,127.956
60106,Urban Municipality,Karnali,Thulibheri Municipality,Dolpa,2018,1.499,,,,,87.484,143.967
60907,Urban Municipality,Karnali,Sharada Municipality,Salyan,2018,41.95,,,,,159.144,252.093
60905,Urban Municipality,Karnali,Baagchaur Municipality,Salyan,2018,39.756,,,,,145.619,179.199
60903,Urban Municipality,Karnali,Baangad Kupinde Municipality,Salyan,2018,8.734,,,,,2.25,331.276
60804,Urban Municipality,Karnali,Mushikot Municipality,Rukum East,2018,22.798,,,,,156.71,223.756
60806,Urban Municipality,Karnali,Chaurjahari Rural Municipality,Rukum East,2018,43.812,,,,,188.414,136.555
60801,Urban Municipality,Karnali,Aathbiskot Municipality,Rukum East,2018,0.02,,,,,24.1,368.324
51208,Rural Municipality,Lumbini,Badhaiyatal Rural Municipality,Bardiya,2018,9.147,,,,,192.97,192.698
51204,Rural Municipality,Lumbini,Geruwa Rural Municipality,Bardiya,2018,8.314,,,,,120.646,129.003
51101,Rural Municipality,Lumbini,Raptisonari Rural Municipality,Banke,2018,10.822,,,,,1.516,515.729
51103,Rural Municipality,Lumbini,Baijnath Rural Municipality,Banke,2018,16.175,,,,,162.435,168.102
51108,Rural Municipality,Lumbini,Narainapur Rural Municipality,Banke,2018,15.142,,,,,117.429,125.774
51107,Rural Municipality,Lumbini,Duduwa Rural Municipality,Banke,2018,10.924,,,,,97.328,127.966
51105,Rural Municipality,Lumbini,Janaki Rural Municipality,Banke,2018,16.503,,,,,66.907,134.63
51104,Rural Municipality,Lumbini,Khajura Rural Municipality,Banke,2018,13.743,,,,,101.926,204.664
